	probe	SYMBOL	ENTREZID	dysregulate
204767_s_at	204767_s_at	FEN1	2237	up
204768_s_at	204768_s_at	FEN1	2237	up
205393_s_at	205393_s_at	CHEK1	1111	up
208079_s_at	208079_s_at	AURKA	6790	up
223700_at	223700_at	MND1	84057	up
203046_s_at	203046_s_at	TIMELESS	8914	up
204092_s_at	204092_s_at	AURKA	6790	up
204603_at	204603_at	EXO1	9156	up
205394_at	205394_at	CHEK1	1111	up
205483_s_at	205483_s_at	ISG15	9636	up
218115_at	218115_at	ASF1B	55723	up
226192_at	226192_at	AR	367	down
226197_at	226197_at	AR	367	down
